     1 | 20 DE JUNIO                                                                         | 1761 |            1
     2 | 25 DE MAYO                                                                          | 6660 |            1
     3 | 30 DE AGOSTO                                                                        | 6405 |            1
     4 | 9 DE ABRIL                                                                          | 1776 |            1
     5 | 9 DE JULIO                                                                          | 6500 |            1
     6 | A. A. FERNANDEZ                                                                     | 1825 |            1
     7 | ABASTO                                                                              | 1903 |            1
     8 | ABBOTT                                                                              | 7228 |            1
     9 | ABEL                                                                                | 6450 |            1
    10 | ABRA DE HINOJO                                                                      | 8170 |            1
    11 | ACASSUSO                                                                            | 1640 |            1
    12 | ACEILAN                                                                             | 7003 |            1
    13 | ACEVEDO                                                                             | 2717 |            1
    14 | ACHUPALLAS                                                                          | 6627 |            1
    15 | ADELA                                                                               | 7136 |            1
    16 | ADELA CORTI                                                                         | 8000 |            1
    17 | ADOLFO ALSINA                                                                       | 6430 |            1
    18 | ADOLFO F. ORMA (APEADERO FCGB)                                                      | 1901 |            1
    19 | ADOLFO GONZALES CHAVES                                                              | 7513 |            1
    20 | ADOLFO SOURDEAUX                                                                    | 1612 |            1
    21 | ADROGUE                                                                             | 1846 |            1
    22 | AERODROMO ALBATROS                                                                  | 1722 |            1
    23 | AEROPUERTO EZEIZA                                                                   | 1802 |            1
    24 | AEROPUERTO EZEIZA ESTAFETA N 1                                                      | 1802 |            1
    25 | AGOTE                                                                               | 6600 |            1
    26 | AGUA DE ORO                                                                         | 1746 |            1
    27 | AGUARA                                                                              | 8105 |            1
    28 | AGUAS VERDES                                                                        | 7112 |            1
    29 | AGUIRREZABALA                                                                       | 2915 |            1
    30 | AGUSTIN FERRARI                                                                     | 1723 |            1
    31 | AGUSTIN MOSCONI                                                                     | 6667 |            1
    32 | AGUSTIN ROCA                                                                        | 6001 |            1
    33 | AGUSTINA                                                                            | 6001 |            1
    34 | ALAGON                                                                              | 6463 |            1
    35 | ALAMOS                                                                              | 6435 |            1
    36 | ALASTUEY (APEADERO FCGU)                                                            | 6703 |            1
    37 | ALBARIÑO                                                                            | 6405 |            1
    38 | ALBERDI                                                                             | 6034 |            1
    39 | ALBERTI                                                                             | 6634 |            1
    40 | ALDEA ROMANA                                                                        | 8101 |            1
    41 | ALDEA SAN ANDRES                                                                    | 8126 |            1
    42 | ALDECON                                                                             | 7406 |            1
    43 | ALDO BONZI                                                                          | 1770 |            1
    44 | ALEGRE                                                                              | 1987 |            1
